id,deck,rank,suit,suit_glyph,code,tarot_type,tarot_index,tarot_name,arb_species_id,arb_species,arb_value,bean_id,bean_name,bean_count
1,A,A,S,♠,AAS,minor,,ACE OF SWORDS,1,FERN,1,1,EMBER,20
2,A,2,S,♠,A2S,minor,,2 OF SWORDS,1,FERN,2,1,EMBER,20
3,A,3,S,♠,A3S,minor,,3 OF SWORDS,1,FERN,3,1,EMBER,20
4,A,4,S,♠,A4S,minor,,4 OF SWORDS,1,FERN,4,1,EMBER,20
5,A,5,S,♠,A5S,minor,,5 OF SWORDS,1,FERN,5,1,EMBER,20
6,A,6,S,♠,A6S,minor,,6 OF SWORDS,1,FERN,6,1,EMBER,20
7,A,7,S,♠,A7S,minor,,7 OF SWORDS,1,FERN,7,1,EMBER,20
8,A,8,S,♠,A8S,minor,,8 OF SWORDS,1,FERN,8,1,EMBER,20
9,A,9,S,♠,A9S,minor,,9 OF SWORDS,9,CONE,1,1,EMBER,20
10,A,10,S,♠,A10S,minor,,10 OF SWORDS,10,BLOOM,1,1,EMBER,20
11,A,J,S,♠,AJS,minor,,PAGE OF SWORDS,,,,2,COIN,18
12,A,Q,S,♠,AQS,minor,,QUEEN OF SWORDS,,,,2,COIN,18
13,A,K,S,♠,AKS,minor,,KING OF SWORDS,,,,2,COIN,18
14,A,A,H,♥,AAH,minor,,ACE OF CUPS,2,SPIRE,1,2,COIN,18
15,A,2,H,♥,A2H,minor,,2 OF CUPS,2,SPIRE,2,2,COIN,18
16,A,3,H,♥,A3H,minor,,3 OF CUPS,2,SPIRE,3,2,COIN,18
17,A,4,H,♥,A4H,minor,,4 OF CUPS,2,SPIRE,4,2,COIN,18
18,A,5,H,♥,A5H,minor,,5 OF CUPS,2,SPIRE,5,2,COIN,18
19,A,6,H,♥,A6H,minor,,6 OF CUPS,2,SPIRE,6,2,COIN,18
20,A,7,H,♥,A7H,minor,,7 OF CUPS,2,SPIRE,7,3,MOON,16
21,A,8,H,♥,A8H,minor,,8 OF CUPS,2,SPIRE,8,3,MOON,16
22,A,9,H,♥,A9H,minor,,9 OF CUPS,9,CONE,2,3,MOON,16
23,A,10,H,♥,A10H,minor,,10 OF CUPS,10,BLOOM,2,3,MOON,16
24,A,J,H,♥,AJH,minor,,PAGE OF CUPS,,,,3,MOON,16
25,A,Q,H,♥,AQH,minor,,QUEEN OF CUPS,,,,3,MOON,16
26,A,K,H,♥,AKH,minor,,KING OF CUPS,,,,3,MOON,16
27,A,A,D,♦,AAD,minor,,ACE OF PENTACLES,3,PALM,1,3,MOON,16
28,A,2,D,♦,A2D,minor,,2 OF PENTACLES,3,PALM,2,4,WAVE,14
29,A,3,D,♦,A3D,minor,,3 OF PENTACLES,3,PALM,3,4,WAVE,14
30,A,4,D,♦,A4D,minor,,4 OF PENTACLES,3,PALM,4,4,WAVE,14
31,A,5,D,♦,A5D,minor,,5 OF PENTACLES,3,PALM,5,4,WAVE,14
32,A,6,D,♦,A6D,minor,,6 OF PENTACLES,3,PALM,6,4,WAVE,14
33,A,7,D,♦,A7D,minor,,7 OF PENTACLES,3,PALM,7,4,WAVE,14
34,A,8,D,♦,A8D,minor,,8 OF PENTACLES,3,PALM,8,4,WAVE,14
35,A,9,D,♦,A9D,minor,,9 OF PENTACLES,9,CONE,3,5,SHIELD,12
36,A,10,D,♦,A10D,minor,,10 OF PENTACLES,10,BLOOM,3,5,SHIELD,12
37,A,J,D,♦,AJD,minor,,PAGE OF PENTACLES,,,,5,SHIELD,12
38,A,Q,D,♦,AQD,minor,,QUEEN OF PENTACLES,,,,5,SHIELD,12
39,A,K,D,♦,AKD,minor,,KING OF PENTACLES,,,,5,SHIELD,12
40,A,A,C,♣,AAC,minor,,ACE OF WANDS,4,LOTUS,1,5,SHIELD,12
41,A,2,C,♣,A2C,minor,,2 OF WANDS,4,LOTUS,2,6,SPIRAL,10
42,A,3,C,♣,A3C,minor,,3 OF WANDS,4,LOTUS,3,6,SPIRAL,10
43,A,4,C,♣,A4C,minor,,4 OF WANDS,4,LOTUS,4,6,SPIRAL,10
44,A,5,C,♣,A5C,minor,,5 OF WANDS,4,LOTUS,5,6,SPIRAL,10
45,A,6,C,♣,A6C,minor,,6 OF WANDS,4,LOTUS,6,6,SPIRAL,10
46,A,7,C,♣,A7C,minor,,7 OF WANDS,4,LOTUS,7,7,QUARTZ,8
47,A,8,C,♣,A8C,minor,,8 OF WANDS,4,LOTUS,8,7,QUARTZ,8
48,A,9,C,♣,A9C,minor,,9 OF WANDS,9,CONE,4,7,QUARTZ,8
49,A,10,C,♣,A10C,minor,,10 OF WANDS,10,BLOOM,4,7,QUARTZ,8
50,A,J,C,♣,AJC,minor,,PAGE OF WANDS,,,,8,CROWN,6
51,A,Q,C,♣,AQC,minor,,QUEEN OF WANDS,,,,8,CROWN,6
52,A,K,C,♣,AKC,minor,,KING OF WANDS,,,,8,CROWN,6
53,B,A,S,♠,BAS,major,0,THE FOOL,5,IVY,1,1,EMBER,20
54,B,2,S,♠,B2S,major,I,THE MAGICIAN,5,IVY,2,1,EMBER,20
55,B,3,S,♠,B3S,major,II,THE HIGH PRIESTESS,5,IVY,3,1,EMBER,20
56,B,4,S,♠,B4S,major,III,THE EMPRESS,5,IVY,4,1,EMBER,20
57,B,5,S,♠,B5S,major,IV,THE EMPEROR,5,IVY,5,1,EMBER,20
58,B,6,S,♠,B6S,major,V,THE HIEROPHANT,5,IVY,6,1,EMBER,20
59,B,7,S,♠,B7S,major,VI,THE LOVERS,5,IVY,7,1,EMBER,20
60,B,8,S,♠,B8S,major,VII,THE CHARIOT,5,IVY,8,1,EMBER,20
61,B,9,S,♠,B9S,major,VIII,STRENGTH,9,CONE,5,1,EMBER,20
62,B,10,S,♠,B10S,major,IX,THE HERMIT,10,BLOOM,5,1,EMBER,20
63,B,J,S,♠,BJS,minor,,KNIGHT OF SWORDS,,,,2,COIN,18
64,B,Q,S,♠,BQS,major,X,WHEEL OF FORTUNE,,,,2,COIN,18
65,B,K,S,♠,BKS,major,XI,JUSTICE,,,,2,COIN,18
66,B,A,H,♥,BAH,major,XII,THE HANGED MAN,6,REED,1,2,COIN,18
67,B,2,H,♥,B2H,major,XIII,DEATH,6,REED,2,2,COIN,18
68,B,3,H,♥,B3H,major,XIV,TEMPERANCE,6,REED,3,2,COIN,18
69,B,4,H,♥,B4H,major,XV,THE DEVIL,6,REED,4,2,COIN,18
70,B,5,H,♥,B5H,major,XVI,THE TOWER,6,REED,5,2,COIN,18
