id,deck,rank,suit,suit_glyph,code,tarot_type,tarot_index,tarot_name,flower,flower_id,stone,stone_id,stone_count
1,A,A,S,♠,AAS,minor,MINOR,ACE OF SWORDS,DAHLIA,fl-dahlia,QUARTZ,1,20
2,A,2,S,♠,A2S,minor,MINOR,TWO OF SWORDS,DAHLIA,fl-dahlia,QUARTZ,1,20
3,A,3,S,♠,A3S,minor,MINOR,THREE OF SWORDS,DAHLIA,fl-dahlia,QUARTZ,1,20
4,A,4,S,♠,A4S,minor,MINOR,FOUR OF SWORDS,DAHLIA,fl-dahlia,QUARTZ,1,20
5,A,5,S,♠,A5S,minor,MINOR,FIVE OF SWORDS,DAHLIA,fl-dahlia,QUARTZ,1,20
6,A,6,S,♠,A6S,minor,MINOR,SIX OF SWORDS,DAHLIA,fl-dahlia,QUARTZ,1,20
7,A,7,S,♠,A7S,minor,MINOR,SEVEN OF SWORDS,DAHLIA,fl-dahlia,QUARTZ,1,20
8,A,8,S,♠,A8S,minor,MINOR,EIGHT OF SWORDS,DAHLIA,fl-dahlia,QUARTZ,1,20
9,A,9,S,♠,A9S,minor,MINOR,NINE OF SWORDS,DAHLIA,fl-dahlia,QUARTZ,1,20
10,A,10,S,♠,A10S,minor,MINOR,TEN OF SWORDS,DAHLIA,fl-dahlia,QUARTZ,1,20
11,A,J,S,♠,AJS,minor,MINOR,PAGE OF SWORDS,DAHLIA,fl-dahlia,AMETHYST,2,18
12,A,Q,S,♠,AQS,minor,MINOR,QUEEN OF SWORDS,DAHLIA,fl-dahlia,AMETHYST,2,18
13,A,K,S,♠,AKS,minor,MINOR,KING OF SWORDS,DAHLIA,fl-dahlia,AMETHYST,2,18
14,A,A,H,♥,AAH,minor,MINOR,ACE OF CUPS,LILY,fl-lily,AMETHYST,2,18
15,A,2,H,♥,A2H,minor,MINOR,TWO OF CUPS,LILY,fl-lily,AMETHYST,2,18
16,A,3,H,♥,A3H,minor,MINOR,THREE OF CUPS,LILY,fl-lily,AMETHYST,2,18
17,A,4,H,♥,A4H,minor,MINOR,FOUR OF CUPS,LILY,fl-lily,AMETHYST,2,18
18,A,5,H,♥,A5H,minor,MINOR,FIVE OF CUPS,LILY,fl-lily,AMETHYST,2,18
19,A,6,H,♥,A6H,minor,MINOR,SIX OF CUPS,LILY,fl-lily,AMETHYST,2,18
20,A,7,H,♥,A7H,minor,MINOR,SEVEN OF CUPS,LILY,fl-lily,JADE,3,16
21,A,8,H,♥,A8H,minor,MINOR,EIGHT OF CUPS,LILY,fl-lily,JADE,3,16
22,A,9,H,♥,A9H,minor,MINOR,NINE OF CUPS,LILY,fl-lily,JADE,3,16
23,A,10,H,♥,A10H,minor,MINOR,TEN OF CUPS,LILY,fl-lily,JADE,3,16
24,A,J,H,♥,AJH,minor,MINOR,PAGE OF CUPS,LILY,fl-lily,JADE,3,16
25,A,Q,H,♥,AQH,minor,MINOR,QUEEN OF CUPS,LILY,fl-lily,JADE,3,16
26,A,K,H,♥,AKH,minor,MINOR,KING OF CUPS,LILY,fl-lily,JADE,3,16
27,A,A,D,♦,AAD,minor,MINOR,ACE OF PENTACLES,TULIP,fl-tulip,JADE,3,16
28,A,2,D,♦,A2D,minor,MINOR,TWO OF PENTACLES,TULIP,fl-tulip,OPAL,4,14
29,A,3,D,♦,A3D,minor,MINOR,THREE OF PENTACLES,TULIP,fl-tulip,OPAL,4,14
30,A,4,D,♦,A4D,minor,MINOR,FOUR OF PENTACLES,TULIP,fl-tulip,OPAL,4,14
31,A,5,D,♦,A5D,minor,MINOR,FIVE OF PENTACLES,TULIP,fl-tulip,OPAL,4,14
32,A,6,D,♦,A6D,minor,MINOR,SIX OF PENTACLES,TULIP,fl-tulip,OPAL,4,14
33,A,7,D,♦,A7D,minor,MINOR,SEVEN OF PENTACLES,TULIP,fl-tulip,OPAL,4,14
34,A,8,D,♦,A8D,minor,MINOR,EIGHT OF PENTACLES,TULIP,fl-tulip,OPAL,4,14
35,A,9,D,♦,A9D,minor,MINOR,NINE OF PENTACLES,TULIP,fl-tulip,SAPPHIRE,5,12
36,A,10,D,♦,A10D,minor,MINOR,TEN OF PENTACLES,TULIP,fl-tulip,SAPPHIRE,5,12
37,A,J,D,♦,AJD,minor,MINOR,PAGE OF PENTACLES,TULIP,fl-tulip,SAPPHIRE,5,12
38,A,Q,D,♦,AQD,minor,MINOR,QUEEN OF PENTACLES,TULIP,fl-tulip,SAPPHIRE,5,12
39,A,K,D,♦,AKD,minor,MINOR,KING OF PENTACLES,TULIP,fl-tulip,SAPPHIRE,5,12
40,A,A,C,♣,AAC,minor,MINOR,ACE OF WANDS,POPPY,fl-poppy,SAPPHIRE,5,12
41,A,2,C,♣,A2C,minor,MINOR,TWO OF WANDS,POPPY,fl-poppy,EMERALD,6,10
42,A,3,C,♣,A3C,minor,MINOR,THREE OF WANDS,POPPY,fl-poppy,EMERALD,6,10
43,A,4,C,♣,A4C,minor,MINOR,FOUR OF WANDS,POPPY,fl-poppy,EMERALD,6,10
44,A,5,C,♣,A5C,minor,MINOR,FIVE OF WANDS,POPPY,fl-poppy,EMERALD,6,10
45,A,6,C,♣,A6C,minor,MINOR,SIX OF WANDS,POPPY,fl-poppy,EMERALD,6,10
46,A,7,C,♣,A7C,minor,MINOR,SEVEN OF WANDS,POPPY,fl-poppy,RUBY,7,8
47,A,8,C,♣,A8C,minor,MINOR,EIGHT OF WANDS,POPPY,fl-poppy,RUBY,7,8
48,A,9,C,♣,A9C,minor,MINOR,NINE OF WANDS,POPPY,fl-poppy,RUBY,7,8
49,A,10,C,♣,A10C,minor,MINOR,TEN OF WANDS,POPPY,fl-poppy,RUBY,7,8
50,A,J,C,♣,AJC,minor,MINOR,PAGE OF WANDS,POPPY,fl-poppy,DIAMOND,8,6
51,A,Q,C,♣,AQC,minor,MINOR,QUEEN OF WANDS,POPPY,fl-poppy,DIAMOND,8,6
52,A,K,C,♣,AKC,minor,MINOR,KING OF WANDS,POPPY,fl-poppy,DIAMOND,8,6
53,B,A,S,♠,BAS,major,MAJOR 0,THE FOOL,ROSE,fl-rose,QUARTZ,1,20
54,B,2,S,♠,B2S,major,MAJOR I,THE MAGICIAN,ROSE,fl-rose,QUARTZ,1,20
55,B,3,S,♠,B3S,major,MAJOR II,THE HIGH PRIESTESS,ROSE,fl-rose,QUARTZ,1,20
56,B,4,S,♠,B4S,major,MAJOR III,THE EMPRESS,ROSE,fl-rose,QUARTZ,1,20
57,B,5,S,♠,B5S,major,MAJOR IV,THE EMPEROR,ROSE,fl-rose,QUARTZ,1,20
58,B,6,S,♠,B6S,major,MAJOR V,THE HIEROPHANT,ROSE,fl-rose,QUARTZ,1,20
59,B,7,S,♠,B7S,major,MAJOR VI,THE LOVERS,ROSE,fl-rose,QUARTZ,1,20
60,B,8,S,♠,B8S,major,MAJOR VII,THE CHARIOT,ROSE,fl-rose,QUARTZ,1,20
61,B,9,S,♠,B9S,major,MAJOR VIII,STRENGTH,ROSE,fl-rose,QUARTZ,1,20
62,B,10,S,♠,B10S,major,MAJOR IX,THE HERMIT,ROSE,fl-rose,QUARTZ,1,20
63,B,J,S,♠,BJS,minor,MINOR,KNIGHT OF SWORDS,ROSE,fl-rose,AMETHYST,2,18
64,B,Q,S,♠,BQS,major,MAJOR X,WHEEL OF FORTUNE,ROSE,fl-rose,AMETHYST,2,18
65,B,K,S,♠,BKS,major,MAJOR XI,JUSTICE,ROSE,fl-rose,AMETHYST,2,18
66,B,A,H,♥,BAH,major,MAJOR XII,THE HANGED MAN,LOTUS,fl-lotus,AMETHYST,2,18
67,B,2,H,♥,B2H,major,MAJOR XIII,DEATH,LOTUS,fl-lotus,AMETHYST,2,18
68,B,3,H,♥,B3H,major,MAJOR XIV,TEMPERANCE,LOTUS,fl-lotus,AMETHYST,2,18
69,B,4,H,♥,B4H,major,MAJOR XV,THE DEVIL,LOTUS,fl-lotus,AMETHYST,2,18
70,B,5,H,♥,B5H,major,MAJOR XVI,THE TOWER,LOTUS,fl-lotus,AMETHYST,2,18
71,B,6,H,♥,B6H,major,MAJOR XVII,THE STAR,LOTUS,fl-lotus,AMETHYST,2,18
72,B,7,H,♥,B7H,major,MAJOR XVIII,THE MOON,LOTUS,fl-lotus,JADE,3,16
73,B,8,H,♥,B8H,major,MAJOR XIX,THE SUN,LOTUS,fl-lotus,JADE,3,16
74,B,9,H,♥,B9H,major,MAJOR XX,JUDGEMENT,LOTUS,fl-lotus,JADE,3,16
75,B,10,H,♥,B10H,major,MAJOR XXI,THE WORLD,LOTUS,fl-lotus,JADE,3,16
76,B,J,H,♥,BJH,minor,MINOR,KNIGHT OF CUPS,LOTUS,fl-lotus,JADE,3,16
77,B,Q,H,♥,BQH,,,,LOTUS,fl-lotus,JADE,3,16
78,B,K,H,♥,BKH,,,,LOTUS,fl-lotus,JADE,3,16
79,B,A,D,♦,BAD,,,,IRIS,fl-iris,JADE,3,16
80,B,2,D,♦,B2D,,,,IRIS,fl-iris,OPAL,4,14
81,B,3,D,♦,B3D,,,,IRIS,fl-iris,OPAL,4,14
82,B,4,D,♦,B4D,,,,IRIS,fl-iris,OPAL,4,14
83,B,5,D,♦,B5D,,,,IRIS,fl-iris,OPAL,4,14
84,B,6,D,♦,B6D,,,,IRIS,fl-iris,OPAL,4,14
85,B,7,D,♦,B7D,,,,IRIS,fl-iris,OPAL,4,14
86,B,8,D,♦,B8D,,,,IRIS,fl-iris,OPAL,4,14
87,B,9,D,♦,B9D,,,,IRIS,fl-iris,SAPPHIRE,5,12
88,B,10,D,♦,B10D,,,,IRIS,fl-iris,SAPPHIRE,5,12
89,B,J,D,♦,BJD,minor,MINOR,KNIGHT OF PENTACLES,IRIS,fl-iris,SAPPHIRE,5,12
90,B,Q,D,♦,BQD,,,,IRIS,fl-iris,SAPPHIRE,5,12
91,B,K,D,♦,BKD,,,,IRIS,fl-iris,SAPPHIRE,5,12
92,B,A,C,♣,BAC,,,,DAISY,fl-daisy,SAPPHIRE,5,12
93,B,2,C,♣,B2C,,,,DAISY,fl-daisy,EMERALD,6,10
94,B,3,C,♣,B3C,,,,DAISY,fl-daisy,EMERALD,6,10
95,B,4,C,♣,B4C,,,,DAISY,fl-daisy,EMERALD,6,10
96,B,5,C,♣,B5C,,,,DAISY,fl-daisy,EMERALD,6,10
97,B,6,C,♣,B6C,,,,DAISY,fl-daisy,EMERALD,6,10
98,B,7,C,♣,B7C,,,,DAISY,fl-daisy,RUBY,7,8
99,B,8,C,♣,B8C,,,,DAISY,fl-daisy,RUBY,7,8
100,B,9,C,♣,B9C,,,,DAISY,fl-daisy,RUBY,7,8
101,B,10,C,♣,B10C,,,,DAISY,fl-daisy,RUBY,7,8
102,B,J,C,♣,BJC,minor,MINOR,KNIGHT OF WANDS,DAISY,fl-daisy,DIAMOND,8,6
103,B,Q,C,♣,BQC,,,,DAISY,fl-daisy,DIAMOND,8,6
104,B,K,C,♣,BKC,,,,DAISY,fl-daisy,DIAMOND,8,6
